filename,year,label
image_0_c 1630.jpg,1630,3
image_1_1655.jpg,1655,3
image_2_1654.jpg,1654,3
image_3_1652.jpg,1652,3
image_4_1650.jpg,1650,3
image_5_1648.jpg,1648,3
image_6_1637.jpg,1637,3
image_7_1636.jpg,1636,3
image_8_1635.jpg,1635,3
image_9_1635.jpg,1635,3
image_10_1634.jpg,1634,3
image_11_1630.jpg,1630,3
image_12_c 16351637.jpg,1637,3
image_13_1912.jpg,1912,6
image_14_1910.jpg,1910,6
image_15_1917.jpg,1917,6
image_16_1912.jpg,1912,6
image_17_1917.jpg,1917,6
image_18_1914.jpg,1914,6
image_19_1912.jpg,1912,6
image_20_c 1890.jpg,1890,5
image_21_1904.jpg,1904,6
image_22_1835.jpg,1835,5
image_23_1899.jpg,1899,5
image_24_1899.jpg,1899,5
image_25_1889.jpg,1889,5
image_26_1889.jpg,1889,5
image_27_1932.jpg,1932,6
image_28_1932.jpg,1932,6
image_29_1932.jpg,1932,6
image_30_1885.jpg,1885,5
image_31_1893.jpg,1893,5
image_32_c 1507.jpg,1507,2
image_33_c 1507.jpg,1507,2
image_34_1900.jpg,1900,5
image_35_1925.jpg,1925,6
image_36_1923.jpg,1923,6
image_37_1927.jpg,1927,6
image_38_1921.jpg,1921,6
image_39_1924.jpg,1924,6
image_40_1924.jpg,1924,6
image_41_1927.jpg,1927,6
image_42_1927.jpg,1927,6
image_43_1922.jpg,1922,6
image_44_1929.jpg,1929,6
image_45_1927.jpg,1927,6
image_46_1923.jpg,1923,6
image_47_1924.jpg,1924,6
image_48_1918.jpg,1918,6
image_49_1907.jpg,1907,6
image_50_1925.jpg,1925,6
image_51_1912.jpg,1912,6
image_52_1921.jpg,1921,6
image_53_1927.jpg,1927,6
image_54_1930.jpg,1930,6
image_55_1916.jpg,1916,6
image_56_c 1906.jpg,1906,6
image_57_c 1909.jpg,1909,6
image_58_1905 - 1906.jpg,1906,6
image_59_c 1888 - 1889.jpg,1889,5
image_60_c 1890 - 1898.jpg,1898,5
image_61_c 1890 - 1895.jpg,1895,5
image_62_1889  1890 and 1898.jpg,1898,5
image_63_c 1890.jpg,1890,5
image_64_c 1888 - 1889.jpg,1889,5
image_65_c 1888 - 1889.jpg,1889,5
image_66_c 1888 - 1889.jpg,1889,5
image_68_1936 published 1937.jpg,1937,6
image_69_1936 published 1937.jpg,1937,6
image_70_1936 published 1937.jpg,1937,6
image_71_probably c 1609.jpg,1609,3
image_72_1914.jpg,1914,6
